"State","fips","full","pop_2015","Brewery_id","Brewery_name","City","Beer_name","Beer_ID","ABV","IBU","Style","Ounces"
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Wolf Among Weeds IPA (2012)",749,0.08,70,"American IPA",16
"CA","06","California",39144818,35,"Ballast Point Brewing Company","San Diego","Grapefruit Sculpin",2593,0.07,99,"American IPA",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Fireside Chat",1024,0.079,45,"Winter Warmer",12
"CA","06","California",39144818,334,"David's Ale Works","Diamond Springs","Sprocket Blonde Ale (2006)",1735,0.05,31,"American Blonde Ale",12
"CA","06","California",39144818,36,"Anchor Brewing Company","San Francisco","Summer Wheat",2577,0.045,120,"American Pale Wheat Ale",12
"CA","06","California",39144818,4,"Mike Hess Brewing Company","San Diego","Grazias",2663,0.063,30,"Cream Ale",16
"CA","06","California",39144818,5,"Fort Point Beer Company","San Francisco","Villager",2658,0.063,42,"American IPA",12
"CA","06","California",39144818,5,"Fort Point Beer Company","San Francisco","Westfalia",2660,0.056,16,"American Amber / Red Ale",12
"CA","06","California",39144818,424,"Hess Brewing Company","San Diego","Habitus IPA",1346,0.08,86,"American IPA",16
"CA","06","California",39144818,36,"Anchor Brewing Company","San Francisco","Liberty Ale",2592,0.059,120,"American IPA",12
"CA","06","California",39144818,34,"The Dudes' Brewing Company","Torrance","Kolschtal Eddy",2035,0.055,108,"Kölsch",16
"CA","06","California",39144818,84,"Sierra Nevada Brewing Company","Chico","Sierra Nevada Pale Ale",1905,0.056,37,"American Pale Ale (APA)",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","21st Amendment Watermelon Wheat Beer (2006)",800,0.049,17,"Fruit / Vegetable Beer",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Winter Solstice",523,0.069,6,"Winter Warmer",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Blood Orange Gose",2291,0.042,120,"Gose",12
"CA","06","California",39144818,398,"Ruhstaller Beer Company","Sacramento","1881 California Red",1479,0.056,35,"American Amber / Red Ale",12
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Barney Flats Oatmeal Stout",1221,0.057,13,"Oatmeal Stout",12
"CA","06","California",39144818,35,"Ballast Point Brewing Company","San Diego","Sculpin IPA",1018,0.07,70,"American IPA",12
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Hell or High Watermelon Wheat",9,0.049,17,"Fruit / Vegetable Beer",12
"CA","06","California",39144818,515,"Monkey Paw Pub & Brewery","San Diego","Rich Man's IIPA",718,0.087,138,"American Double / Imperial IPA",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Brew Free! or Die IPA (2009)",796,0.07,70,"American IPA",12
"CA","06","California",39144818,113,"Black Market Brewing Company","Temecula","Black Market Hefeweizen",1897,0.05,8,"Hefeweizen",12
"CA","06","California",39144818,34,"The Dudes' Brewing Company","Torrance","Surfrider",2594,0.052,35,"American Pale Ale (APA)",16
"CA","06","California",39144818,369,"21st Amendment Brewery","San Francisco","Hell or High Watermelon Wheat (2009)",802,0.049,17,"Fruit / Vegetable Beer",12
"CA","06","California",39144818,35,"Ballast Point Brewing Company","San Diego","Even Keel",2105,0.038,40,"American IPA",12
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Burning Bush Smoked IPA",750,0.08,70,"American IPA",16
"CA","06","California",39144818,172,"Anderson Valley Brewing Company","Boonville","Fall Hornin'",1563,0.06,13,"Pumpkin Ale",12
"CA","06","California",39144818,241,"Golden Road Brewing","Los Angeles","Golden Road Hefeweizen (2012)",548,0.046,15,"Hefeweizen",16
